region,address,price,total_area,kitchen_area,living_area,rooms_count,floor,floors_number,build_date,is_complete,completion_year,house_material,parking,decoration,balcony,longitude,latitude,passenger_elevator,cargo_elevator,metro,metro_distance,metro_transport,district,is_apartments,is_auction
kzn,"Республика Татарстан, Казань, улица Михаила Миля",7710000,41.09,15.8,10.8,1,1,15,empty,0,2025,monolithBrick,empty,empty,empty,49.0933374603262,55.8458816437237,empty,empty,"Северный Вокзал,Авиастроительная,Яшьлек","13,19,3","walk,walk,transport",Авиастроительный,0,0
kzn,"Татарстан,Казань, улица Гагарина,дом 63ка",8950000,40.0,13.0,16.0,1,5,9,empty,empty,2023,monolith,empty,empty,empty,49.099587,55.838415,1,empty,"Северный Вокзал,Яшьлек,Авиастроительная","17,2,3","walk,transport,transport","квартал 20,Ново-Савиновский",0,0
kzn,"Республика Татарстан, Казань, жилой комплекс Времена года",16737000,96.19,empty,empty,3,2,5,empty,0,2024,monolithBrick,empty,empty,empty,49.1906901764285,55.681479742271264,empty,empty,"Дубравная,Проспект Победы,Горки","11,12,13","transport,transport,transport",Приволжский,0,0
kzn,"Россия, Татарстан, Казань, Приволжский, ул. Рихарда Зорге, 50",5300000,30.0,7.0,17.0,1,1,9,1973,empty,empty,panel,empty,empty,empty,49.2008,55.753757,empty,empty,,,,"Горки-1,Приволжский",empty,0
kzn,"Республика Татарстан, Казань, улица Нариманова",24040500,102.3,empty,40.0,3,4,4,empty,0,2025,empty,empty,empty,empty,49.1086696236945,55.7805101895533,empty,2,"Площадь Тукая,Кремлёвская,Суконная слобода","18,3,3","walk,transport,transport","Татарская слобода,Вахитовский",0,0
kzn,"Россия, Татарстан, Казань, Ново-Савиновский, пр-кт. Ямашева, 103",9950000,42.7,11.9,18.7,1,17,18,2013,empty,empty,brick,empty,empty,1,49.155408,55.824739,empty,empty,,,,"кварталы 68, 69,Ново-Савиновский",empty,0
kzn,"Республика Татарстан, Казань, улица Аделя Кутуя",14470000,80.0,13.1,47.4,3,2,19,empty,0,2025,monolithBrick,empty,empty,empty,49.1862272408723,55.7778054230159,3,3,"Аметьево,Горки,Суконная слобода","3,3,4","transport,transport,transport",Советский,0,0
kzn,"Татарстан,Казань, улица Алексея Козина,дом 1к1",10999000,41.1,12.0,15.0,1,4,21,empty,empty,empty,monolithBrick,empty,empty,empty,49.138825,55.814421,1,empty,"Козья слобода,Кремлёвская,Площадь Тукая","4,4,5","transport,transport,transport","кварталы 68, 69,Ново-Савиновский",0,0
kzn,"Республика Татарстан, Казань, Приволжский район, микрорайон Горки-3, микрорайон Экопарк Дубрава, улица Абубекира Терегулова",10098505,46.11,empty,empty,2,17,22,empty,0,2025,monolith,empty,empty,empty,49.2056901540157,55.7375168138009,4,6,"Дубравная,Проспект Победы,Горки","16,2,4","walk,transport,transport","Горки-3,Приволжский",0,0
kzn,"Татарстан,Казань, улица Братьев Батталовых,дом 20А",10700000,72.13,12.3,39.0,3,17,25,empty,empty,empty,monolithBrick,empty,empty,empty,49.183516,55.722507,1,empty,,,,Приволжский,0,0
kzn,"Республика Татарстан, Казань, улица Тази Гиззата",27172750,98.82,empty,32.2,2,2,4,empty,0,2025,empty,empty,empty,empty,49.1063710568987,55.78818239777908,empty,1,"Кремлёвская,Площадь Тукая,Суконная слобода","12,17,4","walk,walk,transport","Татарская слобода,Вахитовский",0,0
kzn,"Россия, Татарстан, Казань, Советский, ул. Мансура Хасанова, 13",12200000,40.4,9.0,14.0,1,16,19,2023,empty,empty,monolithBrick,empty,empty,1,49.183696,55.779378,empty,empty,,,,Советский,empty,0
kzn,"Республика Татарстан, Казань, улица Мансура Хасанова, 13",9090000,44.35,13.1,15.9,1,3,19,empty,0,2023,monolithBrick,empty,empty,empty,49.183696,55.779378,3,9,"Аметьево,Горки,Суконная слобода","3,3,4","transport,transport,transport",Советский,0,0
kzn,"Россия, Татарстан, Казань, Кировский, ул. Восход, 3а",5290000,31.4,5.5,18.5,1,4,5,1972,empty,empty,panel,empty,empty,1,49.068891,55.827085,empty,empty,,,,Московский,empty,0
kzn,"Республика Татарстан, Казань, улица Николая Ершова",10642000,41.64,14.6,16.1,1,9,10,empty,0,2024,monolith,empty,empty,empty,49.180664893,55.8024059306,4,empty,,,,"Куба,Советский",0,0
kzn,"Татарстан Респ., Казань г., Ново-Савиновский, Мусина ул., д.21",7000000,40.5,10.6,19.6,1,1,10,2002,empty,empty,panel,empty,empty,1,49.120419,55.823985,1,empty,,,,Ново-Савиновский,empty,0
kzn,"Республика Татарстан, Казань, Адмиралтейская улица",10335000,35.57,8.5,13.5,1,5,8,empty,0,2025,monolithBrick,empty,empty,empty,49.0559795423273,55.8032668647335,10,empty,"Козья слобода,Яшьлек,Кремлёвская","5,5,5","transport,transport,transport","Адмиралтейская слобода,Кировский",0,0
kzn,"Россия, Татарстан, Казань, Советский, ул. Аделя Кутуя, 86",7600000,36.7,5.0,19.7,1,3,20,empty,empty,empty,monolithBrick,empty,empty,empty,49.18820162553198,55.78122323704548,empty,empty,"Аметьево,Горки,Суконная слобода","3,4,4","transport,transport,transport",Советский,empty,0
kzn,"Республика Татарстан, Казань, улица Петра Полушкина",12253080,60.36,16.6,26.7,2,3,25,empty,0,2026,monolithBrick,empty,empty,3,49.2124506216715,55.7879645407718,4,13,"Горки,Аметьево,Проспект Победы","5,6,6","transport,transport,transport",Советский,0,0
kzn,"Республика Татарстан, Казань, Приволжский район, микрорайон Горки-3, микрорайон Экопарк Дубрава, улица Абубекира Терегулова",12337429,63.34,empty,empty,3,16,22,empty,0,2025,monolith,empty,empty,empty,49.2056901540157,55.7375168138009,4,6,"Дубравная,Проспект Победы,Горки","16,2,4","walk,transport,transport","Горки-3,Приволжский",0,0
kzn,"Республика Татарстан, Казань, улица Фикрята Табеева, 1",12450000,92.35,14.8,52.6,3,2,11,2020,empty,empty,empty,ground,empty,2,49.251654,55.795494,empty,empty,"Дубравная,Горки,Суконная слобода","11,12,13","transport,transport,transport",Советский,0,0
kzn,"Республика Татарстан, Казань, проезд Юнуса Ахметзянова, 3А",12500000,45.05,20.7,12.6,1,2,19,empty,1,2021,brick,empty,empty,empty,49.183319,55.800145,empty,empty,"Суконная слобода,Площадь Тукая,Аметьево","5,6,6","transport,transport,transport","Октябрьский городок,Советский",0,0
kzn,"Республика Татарстан, Казань, улица Николая Ершова",12685400,37.31,3.3,22.3,1,8,20,empty,0,2026,monolithBrick,empty,empty,empty,49.1730311482,55.7943629534,empty,8,"Суконная слобода,Площадь Тукая,Аметьево","4,5,5","transport,transport,transport","Октябрьский городок,Советский",0,0
kzn,"Республика Татарстан, Казань, улица Серова",12800000,54.86,15.6,25.0,2,2,10,empty,0,2024,brick,empty,empty,empty,49.0742472724877,55.8247568649974,4,empty,"Яшьлек,Козья слобода,Северный Вокзал","10,3,3","walk,transport,transport",Московский,0,0
kzn,"Республика Татарстан, Казань, улица Азата Аббасова",13117000,93.75,18.7,41.9,3,2,10,empty,0,2025,monolith,empty,empty,empty,49.2504360866,55.787739547,15,empty,"Горки,Проспект Победы,Дубравная","7,7,8","transport,transport,transport",Советский,0,0
kzn,"Республика Татарстан, Казань, жилой комплекс Времена года",13284000,96.33,empty,empty,3,1,5,empty,0,2024,monolithBrick,empty,empty,empty,49.1915806698222,55.68183738722266,empty,empty,"Дубравная,Проспект Победы,Горки","11,11,13","transport,transport,transport",Приволжский,0,0
kzn,"Республика Татарстан, Казань, улица Алексея Козина",13247060,44.52,16.9,11.7,1,13,24,empty,0,2024,monolith,empty,without,empty,49.1419199735711,55.8134541391244,3,3,"Козья слобода,Кремлёвская,Площадь Тукая","4,4,5","transport,transport,transport",Ново-Савиновский,0,0
kzn,"Республика Татарстан, Казань, Кировский район, Луговая улица",13530900,85.1,20.9,39.3,2,2,11,empty,0,2025,brick,empty,empty,empty,49.0506023783,55.8237391556,empty,2,"Яшьлек,Северный Вокзал,Козья слобода","3,4,5","transport,transport,transport","Пороховая слобода,Кировский",0,0
kzn,"Республика Татарстан, Казань, улица Николая Ершова",13542000,57.42,13.9,27.5,2,9,10,empty,0,2024,monolith,empty,empty,empty,49.1806648929576,55.8024059306262,4,empty,,,,"Куба,Советский",0,0
kzn,"Республика Татарстан, Казань, жилой комплекс Сиберово",13507920,87.6,28.6,34.1,3,7,8,empty,0,2026,monolith,open,empty,1,49.1898767566498,55.8183604467516,2,9,"Площадь Тукая,Суконная слобода,Козья слобода","8,8,9","transport,transport,transport",Советский,0,0
kzn,"Республика Татарстан, Казань, улица Кул Гали, 29",13756000,68.78,10.7,38.8,3,5,10,empty,0,2024,brick,ground,empty,empty,49.247009,55.750783,1,5,"Дубравная,Проспект Победы,Горки","4,4,5","transport,transport,transport","Изумрудный город,Приволжский",0,0
kzn,"Республика Татарстан, Казань, улица Нариманова",13799700,51.3,empty,11.9,1,2,4,empty,0,2025,empty,empty,empty,empty,49.1086696236945,55.7805101895533,empty,2,"Площадь Тукая,Кремлёвская,Суконная слобода","18,3,3","walk,transport,transport","Татарская слобода,Вахитовский",0,0
kzn,"Республика Татарстан, Казань, Приволжский район, микрорайон Горки-3, микрорайон Экопарк Дубрава, улица Абубекира Терегулова",13727995,73.62,empty,empty,3,12,22,empty,0,2025,monolith,empty,empty,empty,49.2056901540157,55.7375168138009,4,6,"Дубравная,Проспект Победы,Горки","16,2,4","walk,transport,transport","Горки-3,Приволжский",0,0
kzn,"Республика Татарстан, Казань, Приволжский район, микрорайон Горки-3, микрорайон Экопарк Дубрава, улица Абубекира Терегулова",13862569,78.59,empty,empty,3,4,22,empty,0,2025,monolith,empty,empty,empty,49.2056901540157,55.7375168138009,4,6,"Дубравная,Проспект Победы,Горки","16,2,4","walk,transport,transport","Горки-3,Приволжский",0,0
kzn,"Республика Татарстан, Казань, улица Нариманова",14175200,54.52,empty,17.7,1,3,4,empty,0,2025,empty,empty,empty,empty,49.1086696236945,55.7805101895533,empty,2,"Площадь Тукая,Кремлёвская,Суконная слобода","18,3,3","walk,transport,transport","Татарская слобода,Вахитовский",0,0
